,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use,cyber_bullied
8006,183322,2015,17.179,2,3,2.0,5.0,3,3,1,54.43,2,2
8007,183323,2015,29.2344,2,3,1.0,3.0,2,3,1,74.84,2,2
8008,183324,2015,21.598,1,1,2.0,0.0,4,4,1,49.9,1,2
8009,183325,2015,20.16,1,0,2.0,3.0,2,3,1,45.36,1,2
8010,183326,2015,20.9162,2,5,2.0,1.0,2,1,1,62.6,2,2
8011,183328,2015,20.6121,2,7,0.5,1.0,1,1,1,61.69,2,2
8012,183332,2015,17.3633,2,2,5.0,4.0,5,1,1,44.45,1,2
8013,183334,2015,22.195,2,0,4.0,5.0,3,4,1,58.97,2,2
8014,183335,2015,21.1689,1,0,0.0,2.0,2,2,1,47.63,1,2
8015,183336,2015,18.0484,1,1,0.5,0.0,3,3,1,52.16,1,1
8016,183337,2015,18.519,2,0,0.5,5.0,1,1,1,53.52,2,2
